make,price,mileage,gear,fuel,hp,model
BMW,"€ 29,450","8,500 km",Automatic,Gasoline,,118i
BMW,"€ 25,460","20,970 km",Automatic,Gasoline,,118i
BMW,"€ 25,460","20,970 km",Automatic,Gasoline,,118i
BMW,"€ 24,990","22,566 km",Automatic,Gasoline,,118i
BMW,"€ 25,850","26,850 km",Automatic,Gasoline,,118i
BMW,"€ 23,800","30,000 km",Automatic,Gasoline,,118i
BMW,"€ 28,900","22,500 km",Automatic,Gasoline,,118i
BMW,"€ 23,770","25,055 km",Automatic,Gasoline,,118i
BMW,"€ 28,490","22,116 km",Automatic,Gasoline,,118i
BMW,"€ 28,270","5,600 km",Automatic,Gasoline,,118i
BMW,"€ 28,270","5,600 km",Automatic,Gasoline,,118i
BMW,"€ 18,999","15,600 km",Automatic,Gasoline,,118i
